# Control 2 probes -- Qwen3-1.7B-Base  (layers 0..28, stride 1; train seeds <20)
logit-lens final layer vs saved A_logit: max |diff| = 3.87e-06

## Logit lens: median A^(l) per N (rows) x layer (cols)
   N       0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28
     2  0.75  0.55  0.41  0.50  0.51  0.43  0.51  0.45  0.34  0.26  0.30  0.40  0.23  0.37  0.45  0.46  0.43  0.40  0.37  0.33  0.10  0.03  0.00  0.01  0.03  0.00  0.00  0.02  0.09
     4  1.00  0.91  0.93  0.90  0.87  0.88  0.92  0.89  0.92  0.92  0.93  0.91  0.91  0.94  0.95  0.92  0.93  0.95  0.92  0.93  0.45  0.46  0.06  0.25  0.20  0.00  0.01  0.09  0.24
     8  1.00  0.98  0.98  0.97  0.96  0.95  0.97  0.96  0.98  0.98  0.97  0.97  0.97  0.97  0.97  0.97  0.98  0.98  0.97  0.96  0.44  0.44  0.14  0.30  0.37  0.01  0.01  0.05  0.21
    16  1.00  0.99  1.00  0.99  0.99  0.99  0.99  0.99  1.00  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.98  0.98  0.64  0.52  0.34  0.76  0.75  0.03  0.02  0.09  0.33
    32  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.97  0.96  0.97  0.98  0.99  0.94  0.87  0.85  0.93
    64  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  1.00  1.00  1.00  0.99  0.99  0.98  0.98
   128  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99
   256  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00

## Logit lens: fraction top-1 = v1 per N x layer
     2  0.43  0.49  0.53  0.51  0.48  0.51  0.49  0.53  0.56  0.62  0.59  0.57  0.62  0.52  0.51  0.51  0.52  0.52  0.57  0.57  0.79  0.81  0.89  0.84  0.83  0.86  0.84  0.84  0.91
     4  0.33  0.22  0.26  0.29  0.26  0.26  0.26  0.29  0.20  0.27  0.26  0.23  0.24  0.23  0.21  0.21  0.23  0.23  0.26  0.24  0.54  0.53  0.73  0.68  0.62  0.79  0.79  0.81  0.84
     8  0.12  0.08  0.12  0.17  0.11  0.09  0.10  0.12  0.13  0.14  0.11  0.11  0.13  0.16  0.16  0.12  0.12  0.17  0.18  0.18  0.62  0.60  0.80  0.71  0.68  0.78  0.87  0.86  0.90
