# Control 2 probes -- Qwen3-1.7B-Base  (layers 0..28, stride 1; train seeds <20)
logit-lens final layer vs saved A_logit: max |diff| = 3.87e-06

## Logit lens: median A^(l) per N (rows) x layer (cols)
   N       0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28
    16  0.04  0.04  0.06  0.02  0.01  0.10  0.09  0.08  0.09  0.16  0.11  0.10  0.10  0.11  0.10  0.11  0.10  0.09  0.04  0.08  0.51  0.58  0.62  0.46  0.47  0.71  0.71  0.80  0.83
    32  0.01  0.03  0.02  0.01  0.01  0.04  0.03  0.01  0.02  0.03  0.06  0.04  0.02  0.03  0.01  0.01  0.02  0.01  0.04  0.04  0.20  0.30  0.27  0.20  0.21  0.38  0.42  0.44  0.48
    64  0.03  0.02  0.01  0.01  0.00  0.02  0.01  0.01  0.01  0.00  0.01  0.01  0.00  0.00  0.01  0.00  0.00  0.00  0.02  0.01  0.16  0.08  0.14  0.04  0.09  0.19  0.26  0.26  0.24
   128  0.00  0.01  0.01  0.00  0.01  0.01  0.02  0.01  0.01  0.01  0.01  0.02  0.01  0.01  0.02  0.01  0.01  0.01  0.02  0.02  0.06  0.07  0.06  0.04  0.03  0.07  0.10  0.10  0.12
   256  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.01  0.01  0.01  0.02  0.01  0.03  0.02  0.02

## Bilinear probe, comp_lg: test accuracy P[v1 > comp] per N x layer
     2  0.60  0.50  0.43  0.50  0.47  0.47  0.53  0.43  0.43  0.50  0.50  0.53  0.47  0.53  0.53  0.47  0.40  0.47  0.50  0.43  0.50  0.70  0.90  0.70  0.70  0.90  0.87  0.77  0.60
     4  0.43  0.50  0.60  0.57  0.57  0.63  0.60  0.60  0.63  0.63  0.60  0.57  0.57  0.53  0.53  0.50  0.57  0.60  0.57  0.63  0.67  0.70  0.63  0.67  0.67  0.70  0.70  0.70  0.57
     8  0.53  0.50  0.40  0.43  0.47  0.43  0.57  0.47  0.47  0.53  0.57  0.53  0.53  0.53  0.47  0.53  0.47  0.43  0.47  0.50  0.57  0.53  0.57  0.57  0.63  0.73  0.80  0.70  0.60
    16  0.70  0.73  0.70  0.67  0.70  0.70  0.67  0.73  0.67  0.67  0.67  0.73  0.67  0.63  0.63  0.63  0.60  0.70  0.70  0.80  0.87  0.90  0.83  0.80  0.73  0.90  0.90  0.83  0.70
    32  0.93  0.83  0.80  0.80  0.80  0.80  0.73  0.80  0.80  0.83  0.87  0.90  0.87  0.87  0.90  0.90  0.87  0.87  0.80  0.83  0.83  0.87  0.93  0.90  0.93  0.93  0.90  0.93  0.77
    64  0.87  0.90  0.90  0.90  0.87  0.90  0.90  0.90  0.90  0.93  0.90  0.90  0.90  0.90  0.90  0.87  0.87  0.93  0.93  0.97  0.87  0.90  0.97  0.93  0.90  0.97  1.00  0.97  0.83
   128  0.90  0.97  0.93  0.93  0.93  0.97  0.93  0.97  1.00  0.97  1.00  1.00  0.97  0.97  0.93  0.93  0.93  0.93  0.97  1.00  0.97  0.93  0.97  0.97  1.00  0.97  0.97  0.97  0.93
   256  0.90  1.00  1.00  1.00  0.97  1.00  0.97  1.00  1.00  1.00  1.00  0.97  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00
  mean  0.73  0.74  0.72  0.72  0.72  0.74  0.74  0.74  0.74  0.76  0.76  0.77  0.75  0.75  0.74  0.73  0.71  0.74  0.74  0.77  0.78  0.82  0.85  0.82  0.82  0.89  0.89  0.86  0.75

## Bilinear probe, comp_att: test accuracy P[v1 > comp] per N x layer
     2  0.53  0.40  0.53  0.53  0.47  0.60  0.63  0.57  0.47  0.53  0.57  0.53  0.43  0.30  0.37  0.43  0.47  0.53  0.53  0.43  0.63  0.70  0.83  0.77  0.63  0.77  0.80  0.73  0.73
     4  0.63  0.50  0.47  0.53  0.43  0.63  0.53  0.47  0.53  0.53  0.40  0.53  0.43  0.50  0.47  0.53  0.60  0.53  0.53  0.50  0.70  0.67  0.87  0.63  0.67  0.83  0.80  0.87  0.63
     8  0.37  0.53  0.43  0.47  0.57  0.47  0.53  0.47  0.47  0.60  0.40  0.53  0.43  0.57  0.57  0.47  0.50  0.53  0.50  0.60  0.73  0.73  0.67  0.67  0.63  0.83  0.87  0.83  0.67
    16  0.57  0.47  0.57  0.47  0.50  0.53  0.57  0.63  0.47  0.57  0.50  0.50  0.50  0.57  0.63  0.60  0.50  0.60  0.50  0.53  0.53  0.70  0.77  0.70  0.73  0.87  0.80  0.83  0.83
    32  0.57  0.53  0.60  0.50  0.53  0.53  0.60  0.63  0.53  0.53  0.60  0.67  0.57  0.57  0.60  0.57  0.57  0.63  0.47  0.60  0.67  0.63  0.70  0.63  0.73  0.77  0.80  0.87  0.73
    64  0.57  0.57  0.53  0.53  0.63  0.57  0.73  0.57  0.60  0.57  0.63  0.63  0.63  0.63  0.60  0.63  0.67  0.70  0.70  0.73  0.70  0.63  0.70  0.73  0.73  0.67  0.70  0.63  0.67
   128  0.53  0.50  0.60  0.67  0.63  0.53  0.60  0.63  0.67  0.60  0.63  0.67  0.60  0.70  0.57  0.60  0.50  0.53  0.60  0.53  0.50  0.53  0.70  0.53  0.53  0.57  0.47  0.50  0.43
   256  0.60  0.47  0.40  0.40  0.37  0.43  0.47  0.50  0.47  0.47  0.40  0.33  0.43  0.37  0.47  0.47  0.47  0.40  0.47  0.47  0.50  0.43  0.40  0.40  0.40  0.43  0.47  0.40  0.40
  mean  0.55  0.50  0.52  0.51  0.52  0.54  0.58  0.56  0.53  0.55  0.52  0.55  0.50  0.52  0.53  0.54  0.53  0.56  0.54  0.55  0.62  0.63  0.70  0.63  0.63  0.72  0.71  0.71  0.64

## Ridge h_l -> A_logit: test R^2 per layer
    R2 -0.00  0.43  0.51  0.59  0.63  0.66  0.67  0.68  0.69  0.71  0.70  0.70  0.70  0.70  0.71  0.72  0.75  0.79  0.83  0.85  0.87  0.88  0.87  0.86  0.85  0.84  0.83  0.83  0.72
## ... within-N (per-N mean removed)
   R2w -0.00  0.12  0.13  0.14  0.16  0.17  0.18  0.18  0.20  0.21  0.22  0.20  0.21  0.23  0.25  0.27  0.34  0.42  0.49  0.53  0.57  0.59  0.56  0.53  0.51  0.47  0.43  0.40  0.11
