# Control 2 probes -- Qwen3-0.6B-Base  (layers 0..28, stride 1; train seeds <20)
logit-lens final layer vs saved A_logit: max |diff| = 3.58e-06

## Logit lens: median A^(l) per N (rows) x layer (cols)
   N       0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28
  mean  0.73  0.73  0.73  0.70  0.69  0.74  0.74  0.75  0.74  0.74  0.73  0.73  0.73  0.71  0.72  0.71  0.72  0.74  0.73  0.74  0.76  0.75  0.88  0.83  0.82  0.87  0.87  0.88  0.82

## Bilinear probe, comp_att: test accuracy P[v1 > comp] per N x layer
     2  0.50  0.50  0.50  0.53  0.60  0.43  0.43  0.53  0.47  0.50  0.63  0.63  0.53  0.47  0.47  0.53  0.47  0.53  0.47  0.47  0.67  0.73  0.90  0.90  0.87  0.90  0.87  0.87  0.87
     4  0.67  0.60  0.47  0.60  0.50  0.63  0.67  0.70  0.63  0.57  0.50  0.53  0.60  0.67  0.73  0.77  0.77  0.67  0.73  0.63  0.60  0.57  0.83  0.80  0.80  0.87  0.80  0.87  0.90
     8  0.53  0.47  0.50  0.53  0.50  0.60  0.53  0.63  0.57  0.53  0.50  0.50  0.67  0.60  0.50  0.63  0.47  0.53  0.57  0.50  0.60  0.70  0.77  0.73  0.70  0.87  0.93  0.90  0.73
    16  0.57  0.50  0.47  0.40  0.50  0.47  0.33  0.47  0.43  0.43  0.40  0.50  0.37  0.53  0.47  0.53  0.50  0.50  0.57  0.53  0.60  0.73  0.90  0.87  0.90  0.93  0.97  0.97  0.93
    32  0.50  0.50  0.53  0.50  0.50  0.70  0.60  0.53  0.47  0.57  0.60  0.63  0.57  0.43  0.53  0.40  0.47  0.47  0.50  0.40  0.50  0.63  0.77  0.70  0.70  0.77  0.83  0.73  0.80
    64  0.60  0.43  0.27  0.40  0.33  0.43  0.43  0.57  0.63  0.33  0.53  0.37  0.53  0.63  0.37  0.53  0.40  0.60  0.50  0.37  0.50  0.57  0.77  0.77  0.70  0.70  0.80  0.80  0.73
   128  0.50  0.50  0.67  0.50  0.50  0.53  0.50  0.63  0.53  0.60  0.60  0.67  0.60  0.53  0.37  0.53  0.60  0.53  0.53  0.50  0.53  0.53  0.70  0.67  0.73  0.70  0.70  0.67  0.73
   256  0.53  0.43  0.47  0.40  0.47  0.37  0.47  0.67  0.53  0.50  0.60  0.53  0.43  0.33  0.50  0.43  0.43  0.43  0.47  0.40  0.60  0.57  0.63  0.60  0.60  0.67  0.53  0.53  0.50
  mean  0.55  0.49  0.48  0.48  0.49  0.52  0.50  0.59  0.53  0.50  0.55  0.55  0.54  0.53  0.49  0.55  0.51  0.53  0.54  0.47  0.57  0.63  0.78  0.75  0.75  0.80  0.80  0.79  0.78

## Ridge h_l -> A_logit: test R^2 per layer
    R2 -0.00  0.27  0.41  0.53  0.56  0.62  0.61  0.64  0.65  0.66  0.67  0.66  0.66  0.67  0.69  0.68  0.71  0.72  0.74  0.77  0.77  0.75  0.74  0.73  0.72  0.70  0.70  0.70  0.67
## ... within-N (per-N mean removed)
   R2w -0.01  0.03  0.03  0.05  0.05  0.05  0.06  0.07  0.09  0.09  0.10  0.10  0.10  0.14  0.16  0.15  0.21  0.24  0.28  0.32  0.32  0.29  0.24  0.21  0.19  0.14  0.13  0.12  0.05
