# Control 2 probes -- Qwen3-4B-Base  (layers 0..36, stride 1; train seeds <20)
logit-lens final layer vs saved A_logit: max |diff| = 2.82e-02

## Logit lens: median A^(l) per N (rows) x layer (cols)
   N       0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36
    16  0.73  0.70  0.67  0.70  0.70  0.60  0.63  0.67  0.63  0.73  0.73  0.67  0.67  0.73  0.70  0.67  0.67  0.77  0.67  0.73  0.77  0.67  0.67  0.70  0.73  0.83  0.80  0.80  0.80  0.77  0.80  0.77  0.83  0.87  0.93  0.87  0.70
    32  0.73  0.80  0.87  0.83  0.80  0.83  0.83  0.80  0.77  0.80  0.83  0.77  0.83  0.80  0.83  0.87  0.83  0.83  0.83  0.83  0.83  0.87  0.80  0.87  0.90  0.87  0.90  0.90  0.87  0.90  0.93  0.93  0.93  0.93  0.93  0.93  0.90
    64  0.63  0.73  0.60  0.77  0.77  0.83  0.80  0.80  0.77  0.77  0.67  0.77  0.80  0.83  0.77  0.77  0.80  0.80  0.77  0.83  0.80  0.70  0.80  0.77  0.80  0.83  0.83  0.80  0.77  0.73  0.80  0.80  0.80  0.90  0.90  0.90  0.83
   128  0.83  0.83  0.87  0.90  0.83  0.83  0.83  0.83  0.90  0.83  0.83  0.80  0.83  0.87  0.80  0.83  0.80  0.83  0.83  0.87  0.83  0.87  0.93  0.93  0.90  0.90  0.90  0.87  0.87  0.90  0.90  0.90  0.87  0.87  0.93  0.93  0.87
   256  0.87  0.73  0.77  0.77  0.83  0.80  0.77  0.80  0.80  0.80  0.83  0.77  0.80  0.83  0.90  0.83  0.83  0.83  0.87  0.87  0.90  0.87  0.90  0.87  0.87  0.87  0.90  0.87  0.90  0.80  0.87  0.87  0.90  0.93  0.97  0.90  0.83
  mean  0.65  0.67  0.67  0.71  0.69  0.68  0.68  0.67  0.70  0.69  0.69  0.67  0.67  0.68  0.70  0.68  0.68  0.69  0.68  0.70  0.71  0.70  0.72  0.72  0.73  0.77  0.76  0.75  0.75  0.75  0.78  0.75  0.78  0.82  0.85  0.83  0.75

## Bilinear probe, comp_att: test accuracy P[v1 > comp] per N x layer
     2  0.50  0.63  0.60  0.70  0.63  0.60  0.63  0.63  0.57  0.47  0.53  0.50  0.50  0.53  0.57  0.63  0.60  0.57  0.63  0.67  0.53  0.63  0.63  0.60  0.67  0.73  0.67  0.70  0.80  0.73  0.77  0.73  0.77  0.83  0.90  0.73  0.83
     4  0.70  0.50  0.60  0.63  0.60  0.53  0.53  0.57  0.43  0.47  0.40  0.50  0.53  0.43  0.57  0.57  0.57  0.60  0.60  0.60  0.57  0.50  0.50  0.57  0.70  0.73  0.60  0.70  0.67  0.60  0.80  0.83  0.87  0.83  0.83  0.77  0.70
     8  0.43  0.37  0.40  0.37  0.43  0.33  0.33  0.37  0.43  0.40  0.50  0.40  0.40  0.43  0.43  0.47  0.43  0.47  0.47  0.43  0.47  0.43  0.47  0.47  0.53  0.63  0.57  0.67  0.63  0.50  0.73  0.73  0.70  0.80  0.80  0.80  0.53
    16  0.67  0.50  0.57  0.57  0.63  0.50  0.57  0.63  0.67  0.67  0.63  0.73  0.67  0.63  0.60  0.63  0.67  0.57  0.67  0.60  0.60  0.60  0.57  0.53  0.57  0.73  0.73  0.70  0.73  0.73  0.83  0.83  0.83  0.83  0.90  0.90  0.77
    32  0.60  0.57  0.60  0.53  0.47  0.50  0.57  0.47  0.57  0.63  0.57  0.57  0.63  0.57  0.50  0.53  0.50  0.63  0.67  0.57  0.53  0.73  0.70  0.57  0.53  0.77  0.73  0.70  0.67  0.67  0.73  0.73  0.73  0.90  0.93  0.87  0.77
    64  0.50  0.43  0.40  0.47  0.50  0.53  0.57  0.40  0.47  0.43  0.53  0.47  0.53  0.43  0.43  0.47  0.40  0.43  0.50  0.53  0.50  0.47  0.43  0.53  0.53  0.80  0.80  0.77  0.67  0.73  0.73  0.73  0.77  0.80  0.87  0.90  0.77
   128  0.50  0.53  0.53  0.47  0.43  0.47  0.47  0.43  0.50  0.47  0.47  0.43  0.50  0.53  0.50  0.43  0.43  0.50  0.40  0.57  0.53  0.57  0.57  0.60  0.67  0.67  0.73  0.60  0.57  0.67  0.60  0.60  0.63  0.63  0.77  0.70  0.70
   256  0.53  0.53  0.53  0.57  0.57  0.50  0.43  0.40  0.43  0.40  0.53  0.50  0.47  0.60  0.57  0.43  0.60  0.47  0.47  0.50  0.50  0.53  0.43  0.40  0.40  0.53  0.53  0.53  0.53  0.63  0.57  0.63  0.63  0.63  0.57  0.53  0.50
  mean  0.55  0.51  0.53  0.54  0.53  0.50  0.51  0.49  0.51  0.49  0.52  0.51  0.53  0.52  0.52  0.52  0.52  0.53  0.55  0.56  0.53  0.56  0.54  0.53  0.58  0.70  0.67  0.67  0.66  0.66  0.72  0.73  0.74  0.78  0.82  0.78  0.70

## Ridge h_l -> A_logit: test R^2 per layer
    R2 -0.00  0.36  0.40  0.42  0.44  0.43  0.44  0.44  0.45  0.45  0.45  0.48  0.48  0.49  0.51  0.52  0.54  0.57  0.60  0.62  0.63  0.66  0.68  0.74  0.75  0.76  0.76  0.74  0.74  0.74  0.73  0.71  0.69  0.68  0.68  0.67  0.56
## ... within-N (per-N mean removed)
   R2w -0.00  0.08  0.11  0.12  0.12  0.13  0.14  0.15  0.16  0.17  0.17  0.20  0.20  0.22  0.24  0.26  0.30  0.33  0.34  0.37  0.40  0.43  0.46  0.54  0.54  0.55  0.54  0.51  0.50  0.49  0.47  0.42  0.39  0.37  0.37  0.33  0.19
