layer,head,rho,ln_nstar,censored,res_gauss,res_k3,res_exact,res_gaussN,G-s2/2,k3/6,GN-s2/2,s2,freeze,sink,filler
1,15,high,3.2009698338099564,False,-0.029502916941204216,-0.018222029036132792,-0.10206278411868341,-0.103706177451385,-0.07255986717747898,0.011280887905071348,-0.0742032605101805,1.5613463839666688,0.2438864570785841,6.736899170797422e-08,0.08267599063714681
1,15,low,3.215338317855529,False,-0.15200590702308103,-0.006343524295858938,-0.08639441421621052,-0.22242315904054966,0.06561149280687076,0.14566238272722257,-0.07041725201746817,1.6419596393908515,0.255332328525534,2.1527973520467847e-07,0.1666894823972626
1,15,mid,3.33463298781266,False,0.25951104598438945,0.24085538039615528,0.15818239087670882,0.1978517289436068,-0.10132865510768044,-0.01865566558823442,-0.06165931704078248,1.6893945579619278,0.2533104188881187,1.5523522633863054e-07,0.11354115706709526
6,6,high,3.520271526880543,False,0.8361905940493668,0.5539644517838402,-0.3676787398990524,0.37727548722220394,-1.2038693339484194,-0.2822261422655267,-0.45891510682716297,5.556426325238688,0.7892042251301088,1.4896998630246734e-05,0.0011410620226785277
6,6,low,2.9748357697960937,False,0.3325844648338352,-0.26791382663913943,-0.3313808638082141,-0.0854842683912369,-0.663965328642049,-0.6004982914729744,-0.4180687332250724,4.383075424178102,0.736691999719792,1.8995470331571402e-05,0.008567019219564532
6,6,mid,1.8609774678969542,False,-0.16240053049273984,-0.3260560069013838,-0.7685733500768688,-0.7542440899113143,-0.6061728195841289,-0.1636554764086441,-0.5918435594185751,3.4636788895035586,0.9306074225116167,8.910014693156373e-05,0.04802845419130438
6,13,high,0.0,True,0.33411598205566406,0.33411598205566406,0.33411598205566406,0.33411598205566406,0.0,0.0,0.0,0.0,,0.07564867287874222,0.020800011232495308
6,13,low,0.7188360353171109,False,0.37296235184396254,0.2561209191544144,-0.491301337676317,-0.6025575441698384,-0.8642636895202794,-0.11684143268954805,-0.9755198960138008,3.435939374088442,2.389932616951162,0.2800900870855064,0.16671186576131658
6,13,mid,0.31537060924663096,False,0.430123540427625,0.3835292854250777,0.16907526684584784,0.12624846401130874,-0.26104827358177723,-0.04659425500254722,-0.3038750764163163,1.13550186902426,1.8002658391927977,0.12127556874886386,0.11637136927261335
9,12,high,0.0,True,1.3667869567871094,1.3667869567871094,1.3667869567871094,1.3667869567871094,0.0,0.0,0.0,0.0,,0.027228012681007385,0.06661199033260345
9,12,low,1.4330044713217218,False,1.4192056278120655,1.2481346966332163,0.43989275674523465,0.5528782074894415,-0.9793128710668308,-0.17107093117884917,-0.866327420322624,3.8026486155066452,1.3268097523796623,0.011300575335336682,0.053255988726758005
9,12,mid,0.2516447182000245,False,0.39364805814965836,0.35979439026297083,0.07734910246706578,0.10680424873618716,-0.31629895568259264,-0.03385366788668747,-0.2868438094134712,1.0478016238245689,2.081906648626148,0.05840709685204812,0.17455138373021772
11,13,high,0.0,True,0.31029605865478516,0.31029605865478516,0.31029605865478516,0.31029605865478516,0.0,0.0,0.0,0.0,,0.20270493626594543,0.08442968875169754
11,13,low,0.5449432879849974,False,0.34774505327043226,0.3272509328264326,-0.29122560322334645,-0.29886450197221626,-0.6389706564937788,-0.020494120443999595,-0.6466095552426487,2.384854792495812,2.188167874600438,0.23792022751262296,0.12101941112081228
11,13,mid,0.450569064908131,False,0.7993766559534555,0.7948531760083976,0.1644670849468951,0.2450700405227214,-0.6349095710065604,-0.004523479945057904,-0.554306615430734,2.0075988104528473,2.2278480335330917,0.2620423740208075,0.1386111805387371
13,14,high,0.0,True,0.20215988159179688,0.20215988159179688,0.20215988159179688,0.20215988159179688,0.0,0.0,0.0,0.0,,0.01969647780060768,0.14457236230373383
13,14,low,0.8776489302225668,False,0.19666534089100207,0.13519630574395347,-0.5320539094636939,-0.4554209840471021,-0.7287192503546956,-0.061469035147048524,-0.652086324938104,2.499462275742549,1.4239533540527984,0.07345148022138265,0.16629468266052722
13,14,mid,0.5950137605369136,False,0.5250553888871431,0.49320925530149184,0.16697958465985396,0.20500455470809742,-0.3580758042272892,-0.031846133585651165,-0.32005083417904573,1.2948505331743025,1.0880845276636022,0.06968897162001242,0.18730398192772174
14,15,high,0.0,True,0.8673419952392578,0.8673419952392578,0.8673419952392578,0.8673419952392578,0.0,0.0,0.0,0.0,,0.08110369741916656,0.08250679075717926
14,15,low,0.831389816795719,False,0.7357472411952111,0.7274794287199671,-0.2872523215664775,-0.2642006490804969,-1.0229995627616886,-0.008267812475244486,-0.9999478902757084,3.5096060473129396,2.1106862126597865,0.15544023473386318,0.07115638601324001
14,15,mid,0.6381462207824784,False,0.49776747112643394,0.45443179739095996,-0.06429411733442625,-0.022410977333154003,-0.56206158846086,-0.043335673735473486,-0.5201784484595876,1.9987856206030934,1.5660874855234856,0.12716117982031958,0.09048806036280616
19,5,high,2.53957556473108,False,0.09929633110790759,0.07215709778714352,-0.18421501397088758,-0.10430127582301019,-0.2835113450787954,-0.02713923332076415,-0.20359760693091744,2.1820413168807993,0.4296074799238863,0.11267546446824787,0.08237811300751388
19,5,low,2.1590239458275966,False,0.11585898849696497,0.03752206335768182,-0.13268521653817045,-0.020607591418372095,-0.24854420503513563,-0.07833692513928332,-0.13646657991533717,1.4445397415230463,0.33453536824236696,0.04224389700125547,0.14802034232454275
19,5,mid,0.5312367654814659,False,0.12354041223352169,0.11433075320591057,-0.013645762330850908,-0.06939145812137981,-0.13718617456437263,-0.009209659027611145,-0.19293187035490153,0.8267698100233319,0.7781556772280445,0.02815762746251551,0.19734200609348534
